org_name,org_alt_name,ein_num,bio,city,state,assets,income,mission_statement,facebook_link,twitter_link,youtube_link,instagram_link,linkedin_link,twitter_handle
Solana Center for Environmental Innovation,Solana Center,33-0009949,"['currently have any large scale solutions to the growing environmental problem of non-edible organic waste in our landfills--a problem that releases methane, a potent greenhouse gas that leads to <em>climate change</em>--despite the desperate need in the region. Solana Center is at the center of this solvable problem with our zero waste and food recovery programs that work to reduce the amount of waste in our ', 'mission is to mobilize the local community to address the region’s most pressing environmental issues and enact impactful <em>change,</em> with a focus on soil, waste, and water. food']",Encinitas,CA,912757.0,1025242.0,"Solana Center for Environmental Innovation's mission is to mobilize the local community to address the region’s most pressing environmental issues and enact impactful change, with a focus on soil, waste, and water.",https://facebook.com/SolanaCenter,https://twitter.com/SolanaCenter,https://youtube.com/channel/UCvFGFpqzU-oF21FtzcetGYg,https://instagram.com/SolanaCenter,https://linkedin.com/company/solana-center-for-environmental-innovation,solanacenter
PACIFIC CREST TRAIL ASSOCIATION,,33-0051202,"[' Pacific Crest, Trail, John Muir Trail, hike, equestrian, backpack, volunteers, trail maintenance, JMT, PCT, conservation, land protection, <em>climate change,</em> DEI, Environment, <em>Climate change,</em> Natural resources, Land resources, Environmental education, Outdoor education, Public affairs, Democracy, Civic participation, Human services, Youth development, Community service']",Sacramento,CA,6759162.0,5968332.0,"The Pacific Crest Trail Associations mission is to advocate for the Pacific Crest Trail as an inspirational outdoor experience, to create belonging and access, and to care for and conserve the trail and the lands through which it passes.",https://facebook.com/PCTAFan,https://twitter.com/PCTAssociation,https://youtube.com/PCTAssociation,https://instagram.com/pctassociation,,pctassociation
Laguna Canyon Foundation,,33-0441816,"['space, wilderness park, eco-friendly, sustainable, habitat protection, wildlife, riparian, Aliso Creek, carbon recycling, global warming, guided hikes, naturalist training, volunteer, earth day, <em>climate change,</em> green, gardening, native plants, water conservation, resource conservation, Environment, Sports and recreation, Community recreation, Parks, Natural resources, Age groups, Children and youth, Adults']",Laguna Beach,CA,3402410.0,2055306.0,"Laguna Canyon Foundation is dedicated to preserving, protecting, enhancing and promoting the South Coast Wilderness – a network of open space that includes Laguna Coast Wilderness Park and Aliso & Wood Canyons Wilderness Park in Orange County, California.",https://facebook.com/lagunacanyonfoundation,https://twitter.com/lagunacanyonfdn,https://youtube.com/channel/UCM_Ci1py10eKv1kmzAEKMMA/videos,https://instagram.com/lagunacanyonfoundation,https://linkedin.com/company/company/laguna-canyon-foundation/,lagunacanyonfdn
Global Energy Network International,Global Energy Network Institute,33-0473889,"['peace, environment, development, sustainable, electricity, population, renewable, alternative, transmission, water, transportation, Buckminster Fuller, simulation, visualization, global warming, <em>climate change,</em> Environment, International relations, Multilateral cooperation, Science, Technology, Non-governmental organizations, Public charities', ""related to the international and inter-regional transmission of electricity, with a specific emphasis on tapping abundant local and remote renewable energy resources. With the increased awareness of <em>climate change,</em> growing energy demand, renewable resource solutions and smart technology over the past 3 years, GENI's strategic position and activities have expanded as well. The core mission of the World Resources""]",San Diego,CA,0.0,0.0,"GENI's mission is to conduct research, educate and provoke world leaders and the public about the critical importance of linking electric power networks between nations and continents, with an emphasis on tapping abundant renewable energy resources. The benefits: integrating renewables between all nations reduces pollution; fosters trade, cooperation and peace; and true sustainable development.",,,,,,
INLAND CONGREGATION UNITED FOR CHANGE SPONSORING COMMITTEE INC,ICUC,33-0480298,"['unlocks the power of ordinary people to build vibrant communities based on the values of family, justice, diversity and action. ICUC empowers faith-based congregations to be a powerful vehicle for social <em>change</em> within the Inland Empire.', 'immigrant organizing is <em>changing</em> the political landscape in communities across the country. To organize Inland Empire communities to impact the public narrative with our shared values of faith by organizing participation in elections, candidate forums, and the broader civic arena.  Additionally, civic engagement tools will continue to be a critical part of issue campaigns School <em>climate</em> is a factor that greatly']",San Bernardino,CA,4247825.0,4889219.0,"ICUC unlocks the power of ordinary people to build vibrant communities based on the values of family, justice, diversity and action. ICUC empowers faith-based congregations to be a powerful vehicle for social change within the Inland Empire.",https://facebook.com/https://www.facebook.com/#!/pages/Inland-Congregations-United-for-Change/146613038691879?fref=ts,,,,,
PADI AWARE Foundation,Project AWARE,33-0540475,"[' Environment, environmental, conservation, underwater, aquatic, scuba dive, coral reefs, sharks, advocacy, conservation, ocean protection, divers, mantas, endangered species, <em>climate change,</em> Environment, Natural resources, Water resources, Domesticated animals, Animal welfare, Environmental education, Science, Physical and earth sciences, Marine science, Age groups, Adults, Non-governmental']",Rancho Santa Margarita,CA,735565.0,1331222.0,Drive local action for global ocean conservation.,https://facebook.com/ProjectAWAREFoundation,https://twitter.com/padiaware,https://youtube.com/projectawareorg,https://instagram.com/padiaware,https://linkedin.com/company/padi-aware-foundation,padiaware
Space Exploration Society,,33-0553135,"[' <em>climate change</em> model research recycling, Public affairs, Environment, Natural resources, Solid waste management, Recycling, Science, Non-governmental organizations, Foundations', ' Model the atmosphere and describe the interactions of Carbon emissions on global temperatures and <em>climate change</em> The objective is to give back to our community by providing']",Santa Rosa,CA,1.0,1.0,"To promote, foster and engage in Space travel, and in the development and exploration of Space for the benefit of humanity.",,,,,,
Hydrologic Research Center,N/A,33-0576233,"[' floods, education, <em>climate,</em> weather, disaster, Science, Environment, Natural resources, Water resources, Public safety, Disasters and emergency management, Physical and earth sciences, Work status and occupations, Academics,']",San Diego,CA,1964474.0,2134880.0,"HRC's mission is to apply its scientific expertise for the solution of important societal problems that involve water. Through its research, technology transfer and education programs, HRC provides mitigation strategies that save lives, protect health, and enable economic prosperity and long-term sustainability of local agriculture, water resources, healthy ecosystems, and natural resources.",,,,,,
THINK EARTH ENVIRONMENTAL EDUCATION FOUNDATION INC,Think Earth Foundation,33-0658992,"[' environmental education, environmental curriculum, environment, watershed, sustainable, conservation, energy conservation, water conservation, recycling , waste reduction, wastewater,  <em>climate change,</em> Environment, Environmental education, Natural resources, Education, Elementary and secondary education, Age groups, Children and youth, Non-governmental organizations, Public charities']",Long Beach,CA,0.0,0.0,"The mission of the Think Earth Environmental Education Foundation is to help communities create and maintain a sustainable environment through education. The Foundation seeks, initiates, and oversees environmental projects and partnerships among stake-holders in the governmental, business, education, and public sectors. These partnerships result in tangible ways for people to “Think Earth,"" that is, for people to:1) conserve natural resources (e.g., water, energy, habitat)2) reduce waste (e.g., recycle, repair, and reuse products)3) minimize pollution (e.g., air, water, land)Founded in 1988, the Think Earth Foundation began as a consortium of agencies, companies, and educators in the Southern California region that sought to address environmental knowledge and practices through education. The Foundation focuses on reaching large numbers of students and their families to educate them about the importance of our shared environment and to show them effective behaviors and habits that would benefit our air, land and water.To help fulfill our mission, The Foundation initiates and oversees projects:- Think Earth Environmental Education Curriculum (9 units from preschool to middle school)- Online Curriculum Project- Think Earth! It's Magic Assembly Program- Think Earth Environmental Surveys- Think Watershed PartnershipPast projects included:- High School Environmental Clubs- Solar/Electric Vehicle Races",,,,,,
The Wildlands Conservancy,,33-0676450,"[' Nature Preserve, Outdoor Education, Conservation, Stewardship, Land Trust, Environmental Education, Outdoor Recreation, Environment, <em>Climate change,</em> Natural resources, Water resources, Land resources, Biodiversity, Environmental education, Age groups, Children and youth, Adults, Family relationships, Families, Social and economic status, Economically']",Yucaipa,CA,180959564.0,22643937.0,To preserve the beauty and biodiversity of the earth and to provide programs so that children may know the wonder and joy of nature.,https://facebook.com/WildlandsConservancy,,https://youtube.com//channel/UC5EvDuEM91Kb7xVJE-0YIcw,https://instagram.com/thewildlandsconservancy,https://linkedin.com/company/company/the-wildlands-conservancy,
